player_id,name_given,debut,final_game
aardsda01,David Allan,2004,2015
aaronha01,Henry Louis,1954,1976
aaronto01,Tommie Lee,1962,1971
aasedo01,Donald William,1977,1990
abadan01,Fausto Andres,2001,2006
abadfe01,Fernando Antonio,2010,2015
abadijo01,John W.,1875,1875
abbated01,Edward James,1897,1910
abbeybe01,Bert Wood,1892,1896
abbeych01,Charles S.,1893,1897
abbotda01,Leander Franklin,1890,1890
abbotfr01,Harry Frederick,1903,1905
abbotgl01,William Glenn,1973,1984
abbotje01,Jeffrey William,1997,2001
abbotji01,James Anthony,1989,1999
abbotku01,Kurt Thomas,1993,2001
abbotky01,Lawrence Kyle,1991,1996
abbotod01,Ody Cleon,1910,1910
abbotpa01,Paul David,1990,2004
aberal01,Albert Julius,1950,1957
abercda01,Francis Patterson,1871,1871
abercre01,Reginald Damascus,2006,2008
abernbi01,William Edward,1952,1952
abernbr01,Michael Brent,2001,2005
abernte01,Talmadge Lafayette,1942,1944
abernte02,Theodore Wade,1955,1972
abernwo01,Virgil Woodrow,1946,1947
aberscl01,Clifford Alexander,1947,1949
ablesha01,Harry Terrell,1905,1911
abnersh01,Shawn Wesley,1987,1992
abramca01,Calvin Ross,1949,1956
abramge01,George Allen,1923,1923
abregjo01,Johnny Ray,1985,1985
abreubo01,Bob Kelly,1996,2014
abreujo01,Joseph Lawrence,1942,1942
abreujo02,Jose Dariel,2014,2015
abreuju01,Juan de Dios,2011,2011
abreuto01,Etanislao Toni,2007,2014
abreuwi01,Winston Leonardo,2006,2009
abstebi01,William Henry,1906,1910
accarje01,Jeremiah Lee,2005,2012
aceveal01,Alfredo,2008,2014
acevejo01,Jose Omar,2001,2005
aceveju01,Juan Carlos,1995,2003
achteaj01,Adam Joseph,2014,2015
ackerji01,James Justin,1983,1992
ackerto01,Thomas James,1956,1959
ackledu01,Dustin Michael,2011,2015
acklefr01,Florian Frederick,1963,1964
acostcy01,Cecilio,1972,1975
acosted01,Eduardo Elixbet,1970,1972
acostjo01,Jose,1920,1922
acostma01,Manuel Alcides,2007,2012
acostme01,Baldomero Pedro,1913,1918
acrema01,Mark Robert,1994,1997
actama99,Manuel Elias,,
adairbi99,Marion Danne,,
adairje01,Kenneth Jerry,1958,1970
adairji01,James Audrey,1931,1931
adamecr01,Cristhian Pascual,2014,2015
adamsac01,Ace Townsend,1941,1946
adamsau01,Austin David,2014,2015
adamsba01,Charles Benjamin,1906,1926
adamsbe01,John Bertram,1910,1919
adamsbo01,Robert Burnette,1925,1925
adamsbo02,Robert Andrew,1931,1932
adamsbo03,Robert Henry,1946,1959
adamsbo04,Robert Melvin,1977,1977
adamsbu01,Elvin Clark,1939,1947
adamsda01,Daniel Leslie,1914,1915
adamsda02,David Lee,2013,2013
adamsdi01,Richard Leroy,1947,1947
adamsdo01,Harold Douglas,1969,1969
adamsge01,George Henry,1879,1879
adamsgl01,Glenn Charles,1975,1982
adamshe01,Herbert Loren,1948,1950
adamsji01,James J.,1890,1890
adamsjo01,Joseph Edward,1902,1902
adamsjo02,Joel Lee,1996,1998
adamska01,Karl Tutwiler,1914,1915
adamsla01,Lane Weston,2014,2014
adamsma01,Matthew James,2012,2015
adamsmi01,John Michael,1967,1969
adamsmi02,Robert Michael,1972,1978
adamsmi03,Jon Michael,2004,2014
adamsre01,Charles Dwight,1946,1946
adamsri01,Reuben Alexander,1905,1905
adamsri02,Ricky Lee,1982,1985
adamsru01,Russ Moore,2004,2009
adamsry01,Ryan Scott,2011,2011
adamssp01,Earl John,1922,1934
adamssp02,Spencer Dewey,1923,1927
adamste01,Terry Wayne,1995,2005
adamswi01,James Irvin,1912,1919
adamswi02,William Edward,1996,1997
adcocjo01,Joseph Wilbur,1950,1966
adcocna01,Nathan Masler,2011,2015
addisbo01,Robert Gordon,1950,1953
adducji01,James David,1983,1989
adducji02,Jim Charles,2013,2014
addybo01,Robert Edward,1871,1877
adenhni01,Nicholas James,2008,2009
aderhmo01,Morris Woodrow,1939,1945
adkinde01,John Dewey,1942,1949
adkindi01,Richard Earl,1942,1942
adkindo01,Merle Theron,1902,1903
adkingr01,Grady Emmett,1928,1929
adkinhe01,John Harry,1895,1895
adkinjo01,Jonathan Scott,2003,2008
adkinst01,Steven Thomas,1990,1990
adlesda01,David George,1963,1968
adriaeh01,Ehire Enrique,2013,2015
afenitr01,Michael Troy,1987,1992
affelje01,Jeremy David,2002,2015
agbaybe01,Benny Peter,1998,2002
ageeto01,Tommie Lee,1962,1973
agganha01,Harry,1954,1955
aglerjo01,Joseph Abram,1912,1915
