playerID,nameFirst,nameLast,nameGiven
aardsda01,David,Aardsma,David Allan
aaronha01,Hank,Aaron,Henry Louis
aaronto01,Tommie,Aaron,Tommie Lee
aasedo01,Don,Aase,Donald William
abadan01,Andy,Abad,Fausto Andres
abadfe01,Fernando,Abad,Fernando Antonio
abadijo01,John,Abadie,John W.
abbated01,Ed,Abbaticchio,Edward James
abbeybe01,Bert,Abbey,Bert Wood
abbeych01,Charlie,Abbey,Charles S.
abbotda01,Dan,Abbott,Leander Franklin
abbotfr01,Fred,Abbott,Harry Frederick
abbotgl01,Glenn,Abbott,William Glenn
abbotje01,Jeff,Abbott,Jeffrey William
abbotji01,Jim,Abbott,James Anthony
abbotku01,Kurt,Abbott,Kurt Thomas
abbotky01,Kyle,Abbott,Lawrence Kyle
abbotod01,Ody,Abbott,Ody Cleon
abbotpa01,Paul,Abbott,Paul David
aberal01,Al,Aber,Albert Julius
abercda01,Frank,Abercrombie,Francis Patterson
abercre01,Reggie,Abercrombie,Reginald Damascus
abernbi01,Bill,Abernathie,William Edward
abernbr01,Brent,Abernathy,Michael Brent
abernte01,Ted,Abernathy,Talmadge Lafayette
abernte02,Ted,Abernathy,Theodore Wade
abernwo01,Woody,Abernathy,Virgil Woodrow
aberscl01,Cliff,Aberson,Clifford Alexander
ablesha01,Harry,Ables,Harry Terrell
abnersh01,Shawn,Abner,Shawn Wesley
abramca01,Cal,Abrams,Calvin Ross
abramge01,George,Abrams,George Allen
abregjo01,Johnny,Abrego,Johnny Ray
abreubo01,Bobby,Abreu,Bob Kelly
abreujo01,Joe,Abreu,Joseph Lawrence
abreujo02,Jose,Abreu,Jose Dariel
abreuju01,Juan,Abreu,Juan de Dios
abreuto01,Tony,Abreu,Etanislao Toni
abreuwi01,Winston,Abreu,Winston Leonardo
abstebi01,Bill,Abstein,William Henry
accarje01,Jeremy,Accardo,Jeremiah Lee
aceveal01,Alfredo,Aceves,Alfredo
acevejo01,Jose,Acevedo,Jose Omar
aceveju01,Juan,Acevedo,Juan Carlos
achteaj01,A. J.,Achter,Adam Joseph
ackerji01,Jim,Acker,James Justin
ackerto01,Tom,Acker,Thomas James
ackledu01,Dustin,Ackley,Dustin Michael
acklefr01,Fritz,Ackley,Florian Frederick
acostcy01,Cy,Acosta,Cecilio
acosted01,Ed,Acosta,Eduardo Elixbet
acostjo01,Jose,Acosta,Jose
acostma01,Manny,Acosta,Manuel Alcides
acostme01,Merito,Acosta,Baldomero Pedro
acrema01,Mark,Acre,Mark Robert
actama99,Manny,Acta,Manuel Elias
adairbi99,Bill,Adair,Marion Danne
adairje01,Jerry,Adair,Kenneth Jerry
adairji01,Jimmy,Adair,James Audrey
adamecr01,Cristhian,Adames,Cristhian Pascual
adamsac01,Ace,Adams,Ace Townsend
adamsau01,Austin,Adams,Austin David
adamsba01,Babe,Adams,Charles Benjamin
adamsbe01,Bert,Adams,John Bertram
adamsbo01,Bob,Adams,Robert Burnette
adamsbo02,Bob,Adams,Robert Andrew
adamsbo03,Bobby,Adams,Robert Henry
adamsbo04,Bob,Adams,Robert Melvin
adamsbu01,Buster,Adams,Elvin Clark
adamsda01,Dan,Adams,Daniel Leslie
adamsda02,David,Adams,David Lee
adamsdi01,Dick,Adams,Richard Leroy
adamsdo01,Doug,Adams,Harold Douglas
adamsge01,George,Adams,George Henry
adamsgl01,Glenn,Adams,Glenn Charles
adamshe01,Herb,Adams,Herbert Loren
adamsji01,Jim,Adams,James J.
adamsjo01,Joe,Adams,Joseph Edward
adamsjo02,Joel,Adamson,Joel Lee
adamska01,Karl,Adams,Karl Tutwiler
adamsla01,Lane,Adams,Lane Weston
adamsma01,Matt,Adams,Matthew James
adamsmi01,Mike,Adamson,John Michael
adamsmi02,Mike,Adams,Robert Michael
adamsmi03,Mike,Adams,Jon Michael
adamsre01,Red,Adams,Charles Dwight
adamsri01,Rick,Adams,Reuben Alexander
adamsri02,Ricky,Adams,Ricky Lee
adamsru01,Russ,Adams,Russ Moore
adamsry01,Ryan,Adams,Ryan Scott
adamssp01,Sparky,Adams,Earl John
adamssp02,Spencer,Adams,Spencer Dewey
adamste01,Terry,Adams,Terry Wayne
adamswi01,Willie,Adams,James Irvin
adamswi02,Willie,Adams,William Edward
adcocjo01,Joe,Adcock,Joseph Wilbur
adcocna01,Nathan,Adcock,Nathan Masler
addisbo01,Bob,Addis,Robert Gordon
adducji01,Jim,Adduci,James David
adducji02,Jim,Adduci,Jim Charles
addybo01,Bob,Addy,Robert Edward
adenhni01,Nick,Adenhart,Nicholas James
aderhmo01,Morrie,Aderholt,Morris Woodrow
adkinde01,Dewey,Adkins,John Dewey
adkindi01,Dick,Adkins,Richard Earl
adkindo01,Doc,Adkins,Merle Theron
adkingr01,Grady,Adkins,Grady Emmett
adkinhe01,Harry,Atkinson,John Harry
adkinjo01,Jon,Adkins,Jonathan Scott
adkinst01,Steve,Adkins,Steven Thomas
adlemti01,Tim,Adleman,Timothy Max
adlesda01,Dave,Adlesh,David George
adriaeh01,Ehire,Adrianza,Ehire Enrique
afenitr01,Troy,Afenir,Michael Troy
affelje01,Jeremy,Affeldt,Jeremy David
agbaybe01,Benny,Agbayani,Benny Peter
ageeto01,Tommie,Agee,Tommie Lee
agganha01,Harry,Agganis,Harry
aglerjo01,Joe,Agler,Joseph Abram
agnewsa01,Sam,Agnew,Samuel Lester
agostju01,Juan,Agosto,Juan Roberto
aguaylu01,Luis,Aguayo,Luis
aguilch01,Chris,Aguila,Christopher Louis
aguilje01,Jesus,Aguilar,Jesus Alexander
aguilri01,Rick,Aguilera,Richard Warren
aguirha01,Hank,Aguirre,Henry John
ahearch01,Bill,Ahearn,William H.
ahearpa01,Pat,Ahearne,Patrick Howard
ahmedni01,Nick,Ahmed,Nicholas Mark
aikenwi01,Willie,Aikens,Willie Mays
aingeda01,Danny,Ainge,Daniel Ray
ainsmed01,Eddie,Ainsmith,Edward Wilbur
ainswku01,Kurt,Ainsworth,Kurt Harold
aitchra01,Raleigh,Aitchison,Raleigh Leonidas
aitonge01,George,Aiton,George Wilson
akejo01,John,Ake,John Leckie
akerfda01,Darrel,Akerfelds,Darrel Wayne
